contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122C00435000,2025-01-14 14:38:34+00:00,435.0,149.96,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00470000,2025-01-14 14:38:34+00:00,470.0,115.01,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00480000,2025-01-14 14:38:34+00:00,480.0,105.03,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00510000,2025-01-14 15:13:03+00:00,510.0,75.0,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00520000,2025-01-14 14:38:34+00:00,520.0,65.11,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00530000,2025-01-14 14:38:25+00:00,530.0,55.26,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00535000,2025-01-21 17:00:50+00:00,535.0,66.15,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00540000,2025-01-17 17:27:07+00:00,540.0,59.18,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00550000,2025-01-14 19:21:16+00:00,550.0,33.98,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00555000,2025-01-21 20:43:47+00:00,555.0,47.33,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00556000,2025-01-17 19:41:27+00:00,556.0,42.76,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00558000,2025-01-16 15:08:01+00:00,558.0,35.24,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00560000,2025-01-21 16:00:25+00:00,560.0,40.47,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00563000,2025-01-16 17:00:13+00:00,563.0,31.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00564000,2025-01-13 15:09:31+00:00,564.0,16.35,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00565000,2025-01-21 15:08:13+00:00,565.0,35.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00567000,2025-01-16 18:16:55+00:00,567.0,26.51,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00568000,2025-01-14 14:36:56+00:00,568.0,18.2,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00569000,2025-01-16 15:27:03+00:00,569.0,23.84,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00570000,2025-01-21 14:55:38+00:00,570.0,30.61,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00571000,2025-01-14 16:05:52+00:00,571.0,12.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00572000,2025-01-21 18:27:24+00:00,572.0,30.69,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00574000,2025-01-21 20:19:12+00:00,574.0,28.34,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00575000,2025-01-21 20:19:12+00:00,575.0,27.37,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00576000,2025-01-21 21:14:41+00:00,576.0,27.06,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00577000,2025-01-21 21:14:41+00:00,577.0,26.1,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00578000,2025-01-21 21:01:38+00:00,578.0,25.27,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00579000,2025-01-21 21:01:38+00:00,579.0,24.3,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00580000,2025-01-21 20:59:04+00:00,580.0,22.79,0.0,0.0,0.0,0.0,45.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00581000,2025-01-21 20:47:45+00:00,581.0,21.64,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00582000,2025-01-21 21:01:00+00:00,582.0,21.25,0.0,0.0,0.0,0.0,55.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00583000,2025-01-21 20:50:23+00:00,583.0,19.44,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00584000,2025-01-21 21:13:17+00:00,584.0,19.11,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00585000,2025-01-21 21:13:17+00:00,585.0,18.14,0.0,0.0,0.0,0.0,101.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00586000,2025-01-21 20:36:11+00:00,586.0,16.43,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00587000,2025-01-21 21:00:53+00:00,587.0,16.2,0.0,0.0,0.0,0.0,229.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00588000,2025-01-21 21:14:50+00:00,588.0,15.08,0.0,0.0,0.0,0.0,96.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00589000,2025-01-21 21:14:50+00:00,589.0,14.13,0.0,0.0,0.0,0.0,25.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00590000,2025-01-21 20:58:41+00:00,590.0,12.75,0.0,0.0,0.0,0.0,262.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00591000,2025-01-21 20:53:54+00:00,591.0,11.81,0.0,0.0,0.0,0.0,186.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00592000,2025-01-21 20:58:28+00:00,592.0,10.78,0.0,0.0,0.0,0.0,553.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00593000,2025-01-21 21:14:07+00:00,593.0,10.15,0.0,0.0,0.0,0.0,607.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00594000,2025-01-21 20:58:01+00:00,594.0,8.95,0.0,0.0,0.0,0.0,304.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00595000,2025-01-21 21:11:17+00:00,595.0,8.23,0.0,0.0,0.0,0.0,1510.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00596000,2025-01-21 21:12:35+00:00,596.0,7.31,0.0,0.0,0.0,0.0,845.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00597000,2025-01-21 21:12:08+00:00,597.0,6.34,0.0,0.0,0.0,0.0,1539.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00598000,2025-01-21 21:13:30+00:00,598.0,5.56,0.0,0.0,0.0,0.0,4219.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00599000,2025-01-21 21:13:16+00:00,599.0,4.5,0.0,0.0,0.0,0.0,9428.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00600000,2025-01-21 21:14:56+00:00,600.0,3.62,0.0,0.0,0.0,0.0,47672.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00601000,2025-01-21 21:14:59+00:00,601.0,2.84,0.0,0.0,0.0,0.0,57827.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00602000,2025-01-21 21:14:39+00:00,602.0,2.11,0.0,0.0,0.0,0.0,73734.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00603000,2025-01-21 21:14:58+00:00,603.0,1.55,0.0,0.0,0.0,0.0,75756.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122C00604000,2025-01-21 21:14:59+00:00,604.0,1.05,0.0,0.0,0.0,0.0,45064.0,0,0.007822421875,False,REGULAR,USD
SPY250122C00605000,2025-01-21 21:14:58+00:00,605.0,0.69,0.0,0.0,0.0,0.0,58616.0,0,0.015634843750000002,False,REGULAR,USD
SPY250122C00606000,2025-01-21 21:14:57+00:00,606.0,0.42,0.0,0.0,0.0,0.0,36744.0,0,0.0312596875,False,REGULAR,USD
SPY250122C00607000,2025-01-21 21:14:58+00:00,607.0,0.24,0.0,0.0,0.0,0.0,26637.0,0,0.0312596875,False,REGULAR,USD
SPY250122C00608000,2025-01-21 21:14:55+00:00,608.0,0.12,0.0,0.0,0.0,0.0,22651.0,0,0.0312596875,False,REGULAR,USD
SPY250122C00609000,2025-01-21 21:14:56+00:00,609.0,0.07,0.0,0.0,0.0,0.0,15599.0,0,0.062509375,False,REGULAR,USD
SPY250122C00610000,2025-01-21 21:14:57+00:00,610.0,0.04,0.0,0.0,0.0,0.0,19849.0,0,0.062509375,False,REGULAR,USD
SPY250122C00611000,2025-01-21 21:14:41+00:00,611.0,0.02,0.0,0.0,0.0,0.0,4247.0,0,0.062509375,False,REGULAR,USD
SPY250122C00612000,2025-01-21 21:14:23+00:00,612.0,0.01,0.0,0.0,0.0,0.0,4176.0,0,0.062509375,False,REGULAR,USD
SPY250122C00613000,2025-01-21 21:01:13+00:00,613.0,0.02,0.0,0.0,0.0,0.0,788.0,0,0.062509375,False,REGULAR,USD
SPY250122C00614000,2025-01-21 21:13:20+00:00,614.0,0.01,0.0,0.0,0.0,0.0,269.0,0,0.062509375,False,REGULAR,USD
SPY250122C00615000,2025-01-21 21:02:02+00:00,615.0,0.01,0.0,0.0,0.0,0.0,2104.0,0,0.062509375,False,REGULAR,USD
SPY250122C00616000,2025-01-21 21:00:03+00:00,616.0,0.01,0.0,0.0,0.0,0.0,336.0,0,0.12500875,False,REGULAR,USD
SPY250122C00617000,2025-01-21 19:37:41+00:00,617.0,0.01,0.0,0.0,0.0,0.0,1174.0,0,0.12500875,False,REGULAR,USD
SPY250122C00618000,2025-01-21 20:52:06+00:00,618.0,0.01,0.0,0.0,0.0,0.0,595.0,0,0.12500875,False,REGULAR,USD
SPY250122C00620000,2025-01-21 17:22:45+00:00,620.0,0.01,0.0,0.0,0.0,0.0,1019.0,0,0.12500875,False,REGULAR,USD
SPY250122C00625000,2025-01-21 19:26:13+00:00,625.0,0.01,0.0,0.0,0.0,0.0,1218.0,0,0.12500875,False,REGULAR,USD
SPY250122C00630000,2025-01-21 19:30:15+00:00,630.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
SPY250122C00635000,2025-01-15 16:54:00+00:00,635.0,0.02,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
SPY250122C00640000,2025-01-17 16:51:56+00:00,640.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
SPY250122C00645000,2025-01-21 15:38:09+00:00,645.0,0.01,,0.0,0.0,0.0,4.0,0,0.2500075,False,REGULAR,USD
SPY250122C00650000,2025-01-17 15:58:19+00:00,650.0,0.01,,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
SPY250122C00655000,2025-01-17 15:59:02+00:00,655.0,0.01,,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
SPY250122C00665000,2025-01-10 15:11:51+00:00,665.0,0.01,0.0,0.0,0.0,0.0,255.0,0,0.500005,False,REGULAR,USD
SPY250122C00670000,2025-01-10 15:11:54+00:00,670.0,0.01,0.0,0.0,0.0,0.0,251.0,0,0.500005,False,REGULAR,USD
SPY250122C00675000,2025-01-13 15:15:37+00:00,675.0,0.01,,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
