contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122P00400000,2025-01-13 15:24:41+00:00,400.0,0.03,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00415000,2025-01-13 16:09:14+00:00,415.0,0.03,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00425000,2025-01-15 18:28:23+00:00,425.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00430000,2025-01-15 20:43:41+00:00,430.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00435000,2025-01-14 16:18:12+00:00,435.0,0.03,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00440000,2025-01-14 15:05:53+00:00,440.0,0.02,,0.0,0.0,0.0,,,0.500005,False,REGULAR,USD
SPY250122P00445000,2025-01-13 17:27:56+00:00,445.0,0.04,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00455000,2025-01-16 16:51:10+00:00,455.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00460000,2025-01-17 20:19:40+00:00,460.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00465000,2025-01-16 20:09:42+00:00,465.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00470000,2025-01-15 20:44:10+00:00,470.0,0.02,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00475000,2025-01-16 20:50:03+00:00,475.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00480000,2025-01-15 20:37:54+00:00,480.0,0.03,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
SPY250122P00485000,2025-01-17 15:48:34+00:00,485.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
