contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122C00435000,2025-01-14 14:38:34+00:00,435.0,149.96,171.84,173.17,0.0,0.0,,17,2.673831440429688,True,REGULAR,USD
SPY250122C00470000,2025-01-14 14:38:34+00:00,470.0,115.01,136.35,138.16,0.0,0.0,,3,2.6113315966796877,True,REGULAR,USD
SPY250122C00480000,2025-01-14 14:38:34+00:00,480.0,105.03,126.84,128.06,0.0,0.0,,47,1.8828130859374999,True,REGULAR,USD
SPY250122C00510000,2025-01-14 15:13:03+00:00,510.0,75.0,96.88,98.14,0.0,0.0,7.0,7,1.509768076171875,True,REGULAR,USD
SPY250122C00520000,2025-01-14 14:38:34+00:00,520.0,65.11,86.71,88.19,0.0,0.0,,11,1.3027378613281246,True,REGULAR,USD
SPY250122C00530000,2025-01-14 14:38:25+00:00,530.0,55.26,76.78,78.07,0.0,0.0,,49,1.1328168359375002,True,REGULAR,USD
SPY250122C00535000,2025-01-21 17:00:50+00:00,535.0,70.94,71.85,73.05,4.790001,7.24112,1.0,105,1.08984830078125,True,REGULAR,USD
SPY250122C00540000,2025-01-22 15:29:28+00:00,540.0,67.15,66.84,68.07,7.970001,13.46739,4.0,1,1.0253954980468751,True,REGULAR,USD
SPY250122C00550000,2025-01-14 19:21:16+00:00,550.0,33.98,56.84,58.07,0.0,0.0,1.0,1,0.88476677734375,True,REGULAR,USD
SPY250122C00555000,2025-01-22 15:01:58+00:00,555.0,51.35,51.49,53.07,4.0199966,8.493548,2.0,3,1.0786178881835937,True,REGULAR,USD
SPY250122C00556000,2025-01-22 15:01:58+00:00,556.0,50.27,50.82,52.07,7.510002,17.56315,1.0,1,0.7929708203125,True,REGULAR,USD
SPY250122C00558000,2025-01-22 15:01:58+00:00,558.0,48.08,48.87,50.11,12.84,36.435867,1.0,1,0.79687703125,True,REGULAR,USD
SPY250122C00560000,2025-01-22 15:08:05+00:00,560.0,46.41,45.94,48.17,5.9399986,14.677535,1.0,20,1.0190478735351562,True,REGULAR,USD
SPY250122C00563000,2025-01-16 17:00:13+00:00,563.0,31.0,43.2,45.07,0.0,0.0,,12,0.9399420068359375,True,REGULAR,USD
SPY250122C00564000,2025-01-13 15:09:31+00:00,564.0,16.35,42.97,44.17,0.0,0.0,,4,0.752932158203125,True,REGULAR,USD
SPY250122C00565000,2025-01-21 15:08:13+00:00,565.0,35.4,41.99,43.17,0.0,0.0,1.0,70,0.7421900781249999,True,REGULAR,USD
SPY250122C00567000,2025-01-22 15:16:00+00:00,567.0,39.89,39.8,41.13,13.379999,50.471516,1.0,1,0.6523472265625001,True,REGULAR,USD
SPY250122C00568000,2025-01-14 14:36:56+00:00,568.0,18.2,38.98,40.1,0.0,0.0,,1,0.6782258740234376,True,REGULAR,USD
SPY250122C00569000,2025-01-16 15:27:03+00:00,569.0,23.84,37.85,39.07,0.0,0.0,,55,0.6210975390625001,True,REGULAR,USD
SPY250122C00570000,2025-01-22 14:53:33+00:00,570.0,36.95,36.85,38.07,6.34,20.712185,4.0,72,0.6064492480468751,True,REGULAR,USD
SPY250122C00571000,2025-01-14 16:05:52+00:00,571.0,12.55,35.65,37.04,0.0,0.0,,13,0.7924825439453125,True,REGULAR,USD
SPY250122C00572000,2025-01-22 14:39:45+00:00,572.0,33.64,34.85,36.07,2.9499989,9.612247,1.0,69,0.57812921875,True,REGULAR,USD
SPY250122C00574000,2025-01-22 16:35:23+00:00,574.0,33.02,32.85,34.08,4.6800003,16.513762,1.0,45,0.551762294921875,True,REGULAR,USD
