Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/01/02,SPX,SPX,I,CBOE,447573
2020/01/03,SPX,SPX,I,CBOE,460049
2020/01/06,SPX,SPX,I,CBOE,429215
2020/01/07,SPX,SPX,I,CBOE,431041
2020/01/08,SPX,SPX,I,CBOE,486952
2020/01/09,SPX,SPX,I,CBOE,575831
2020/01/10,SPX,SPX,I,CBOE,530738
2020/01/13,SPX,SPX,I,CBOE,565978
2020/01/14,SPX,SPX,I,CBOE,591012
2020/01/15,SPX,SPX,I,CBOE,677746
2020/01/16,SPX,SPX,I,CBOE,782359
2020/01/17,SPX,SPX,I,CBOE,592038
2020/01/21,SPX,SPX,I,CBOE,333249
2020/01/22,SPX,SPX,I,CBOE,519443
2020/01/23,SPX,SPX,I,CBOE,424597
2020/01/24,SPX,SPX,I,CBOE,451310
2020/01/27,SPX,SPX,I,CBOE,484587
2020/01/28,SPX,SPX,I,CBOE,310130
2020/01/29,SPX,SPX,I,CBOE,314377
2020/01/30,SPX,SPX,I,CBOE,412899
2020/01/31,SPX,SPX,I,CBOE,587228
2020/02/03,SPX,SPX,I,CBOE,353542
2020/02/04,SPX,SPX,I,CBOE,529590
2020/02/05,SPX,SPX,I,CBOE,421631
2020/02/06,SPX,SPX,I,CBOE,447886
2020/02/07,SPX,SPX,I,CBOE,385091
2020/02/10,SPX,SPX,I,CBOE,390910
2020/02/11,SPX,SPX,I,CBOE,675674
2020/02/12,SPX,SPX,I,CBOE,569804
2020/02/13,SPX,SPX,I,CBOE,399773
2020/02/14,SPX,SPX,I,CBOE,427687
2020/02/18,SPX,SPX,I,CBOE,762081
2020/02/19,SPX,SPX,I,CBOE,830080
2020/02/20,SPX,SPX,I,CBOE,786260
2020/02/21,SPX,SPX,I,CBOE,623977
2020/02/24,SPX,SPX,I,CBOE,949107
2020/02/25,SPX,SPX,I,CBOE,916720
2020/02/26,SPX,SPX,I,CBOE,1011170
2020/02/27,SPX,SPX,I,CBOE,1276390
2020/02/28,SPX,SPX,I,CBOE,1820027
2020/03/02,SPX,SPX,I,CBOE,877453
2020/03/03,SPX,SPX,I,CBOE,766097
2020/03/04,SPX,SPX,I,CBOE,958489
2020/03/05,SPX,SPX,I,CBOE,784755
2020/03/06,SPX,SPX,I,CBOE,1188662
2020/03/09,SPX,SPX,I,CBOE,1131401
2020/03/10,SPX,SPX,I,CBOE,1087470
2020/03/11,SPX,SPX,I,CBOE,1043630
2020/03/12,SPX,SPX,I,CBOE,1607932
2020/03/13,SPX,SPX,I,CBOE,1682211
2020/03/16,SPX,SPX,I,CBOE,1040433
2020/03/17,SPX,SPX,I,CBOE,1180228
2020/03/18,SPX,SPX,I,CBOE,1736119
2020/03/19,SPX,SPX,I,CBOE,1236949
2020/03/20,SPX,SPX,I,CBOE,925569
2020/03/23,SPX,SPX,I,CBOE,885464
2020/03/24,SPX,SPX,I,CBOE,842062
2020/03/25,SPX,SPX,I,CBOE,825177
2020/03/26,SPX,SPX,I,CBOE,780310
2020/03/27,SPX,SPX,I,CBOE,697956
2020/03/30,SPX,SPX,I,CBOE,616460
2020/03/31,SPX,SPX,I,CBOE,668610
2020/04/01,SPX,SPX,I,CBOE,734306
2020/04/02,SPX,SPX,I,CBOE,636315
2020/04/03,SPX,SPX,I,CBOE,590443
2020/04/06,SPX,SPX,I,CBOE,654220
2020/04/07,SPX,SPX,I,CBOE,734848
2020/04/08,SPX,SPX,I,CBOE,575222
2020/04/09,SPX,SPX,I,CBOE,659825
2020/04/13,SPX,SPX,I,CBOE,439972
2020/04/14,SPX,SPX,I,CBOE,693244
2020/04/15,SPX,SPX,I,CBOE,695816
2020/04/16,SPX,SPX,I,CBOE,648338
2020/04/17,SPX,SPX,I,CBOE,457633
2020/04/20,SPX,SPX,I,CBOE,339972
2020/04/21,SPX,SPX,I,CBOE,372086
2020/04/22,SPX,SPX,I,CBOE,292595
2020/04/23,SPX,SPX,I,CBOE,345712
