Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/01/02,SPY,SPY,S,CBOE,374634
2020/01/03,SPY,SPY,S,CBOE,395687
2020/01/06,SPY,SPY,S,CBOE,267288
2020/01/07,SPY,SPY,S,CBOE,202199
2020/01/08,SPY,SPY,S,CBOE,434686
2020/01/09,SPY,SPY,S,CBOE,360667
2020/01/10,SPY,SPY,S,CBOE,407104
2020/01/13,SPY,SPY,S,CBOE,399520
2020/01/14,SPY,SPY,S,CBOE,328564
2020/01/15,SPY,SPY,S,CBOE,423269
2020/01/16,SPY,SPY,S,CBOE,454607
2020/01/17,SPY,SPY,S,CBOE,528413
2020/01/21,SPY,SPY,S,CBOE,326189
2020/01/22,SPY,SPY,S,CBOE,345540
2020/01/23,SPY,SPY,S,CBOE,342844
2020/01/24,SPY,SPY,S,CBOE,649665
2020/01/27,SPY,SPY,S,CBOE,650799
2020/01/28,SPY,SPY,S,CBOE,348867
2020/01/29,SPY,SPY,S,CBOE,355355
2020/01/30,SPY,SPY,S,CBOE,414952
2020/01/31,SPY,SPY,S,CBOE,746583
2020/02/03,SPY,SPY,S,CBOE,332604
2020/02/04,SPY,SPY,S,CBOE,435650
2020/02/05,SPY,SPY,S,CBOE,500453
2020/02/06,SPY,SPY,S,CBOE,322800
2020/02/07,SPY,SPY,S,CBOE,418838
2020/02/10,SPY,SPY,S,CBOE,378951
2020/02/11,SPY,SPY,S,CBOE,526188
2020/02/12,SPY,SPY,S,CBOE,452999
2020/02/13,SPY,SPY,S,CBOE,358496
2020/02/14,SPY,SPY,S,CBOE,353320
2020/02/18,SPY,SPY,S,CBOE,435363
2020/02/19,SPY,SPY,S,CBOE,290524
2020/02/20,SPY,SPY,S,CBOE,442021
2020/02/21,SPY,SPY,S,CBOE,597045
2020/02/24,SPY,SPY,S,CBOE,992711
2020/02/25,SPY,SPY,S,CBOE,1054827
2020/02/26,SPY,SPY,S,CBOE,730466
2020/02/27,SPY,SPY,S,CBOE,874548
2020/02/28,SPY,SPY,S,CBOE,855537
2020/03/02,SPY,SPY,S,CBOE,690207
2020/03/03,SPY,SPY,S,CBOE,586134
2020/03/04,SPY,SPY,S,CBOE,689099
2020/03/05,SPY,SPY,S,CBOE,620271
2020/03/06,SPY,SPY,S,CBOE,820236
2020/03/09,SPY,SPY,S,CBOE,850631
2020/03/10,SPY,SPY,S,CBOE,646638
2020/03/11,SPY,SPY,S,CBOE,722741
2020/03/12,SPY,SPY,S,CBOE,914375
2020/03/13,SPY,SPY,S,CBOE,903945
2020/03/16,SPY,SPY,S,CBOE,885437
2020/03/17,SPY,SPY,S,CBOE,585458
2020/03/18,SPY,SPY,S,CBOE,804450
2020/03/19,SPY,SPY,S,CBOE,630762
2020/03/20,SPY,SPY,S,CBOE,908028
2020/03/23,SPY,SPY,S,CBOE,832292
2020/03/24,SPY,SPY,S,CBOE,712840
2020/03/25,SPY,SPY,S,CBOE,967537
2020/03/26,SPY,SPY,S,CBOE,752729
2020/03/27,SPY,SPY,S,CBOE,740438
2020/03/30,SPY,SPY,S,CBOE,887268
2020/03/31,SPY,SPY,S,CBOE,1003735
2020/04/01,SPY,SPY,S,CBOE,774835
2020/04/02,SPY,SPY,S,CBOE,582256
2020/04/03,SPY,SPY,S,CBOE,746925
2020/04/06,SPY,SPY,S,CBOE,908582
2020/04/07,SPY,SPY,S,CBOE,946048
2020/04/08,SPY,SPY,S,CBOE,868206
2020/04/09,SPY,SPY,S,CBOE,1152938
2020/04/13,SPY,SPY,S,CBOE,638195
2020/04/14,SPY,SPY,S,CBOE,627362
2020/04/15,SPY,SPY,S,CBOE,605231
2020/04/16,SPY,SPY,S,CBOE,498858
2020/04/17,SPY,SPY,S,CBOE,770088
2020/04/20,SPY,SPY,S,CBOE,603734
2020/04/21,SPY,SPY,S,CBOE,596137
2020/04/22,SPY,SPY,S,CBOE,493492
2020/04/23,SPY,SPY,S,CBOE,521300
2020/04/24,SPY,SPY,S,CBOE,676453
2020/04/27,SPY,SPY,S,CBOE,534195
2020/04/28,SPY,SPY,S,CBOE,477306
2020/04/29,SPY,SPY,S,CBOE,778308
2020/04/30,SPY,SPY,S,CBOE,545171
2020/05/01,SPY,SPY,S,CBOE,791291
2020/05/04,SPY,SPY,S,CBOE,527958
2020/05/05,SPY,SPY,S,CBOE,422193
2020/05/06,SPY,SPY,S,CBOE,469690
2020/05/07,SPY,SPY,S,CBOE,367443
2020/05/08,SPY,SPY,S,CBOE,587290
2020/05/11,SPY,SPY,S,CBOE,443665
2020/05/12,SPY,SPY,S,CBOE,492124
2020/05/13,SPY,SPY,S,CBOE,949475
2020/05/14,SPY,SPY,S,CBOE,672897
2020/05/15,SPY,SPY,S,CBOE,1012576
2020/05/18,SPY,SPY,S,CBOE,689268
2020/05/19,SPY,SPY,S,CBOE,443013
2020/05/20,SPY,SPY,S,CBOE,555453
