Date,Inflation,CPI,Treasury_Yield,Open,High,Low,Close,SP500_Adj_Close,Volume,GDP,mortage,unemployement,fed_fund_rate,volatility,volatility_forcast,returns,EWMA_VM,GARCH_VM,EGARCH_VM,RogersSatchell_VM,garman_klass,parkinson,yang_zhang,BS_30d_ATM_Call,move,LSTM_vol,EMD_vol,fair_price,BS_1d_ATM_Call,LSTM_BS_1d_ATM_Call,EMD_BS_1d_ATM_Call,Call_base_RNN,Call_LSTM_RNN,Call_EMD_RNN
2020-03-17,0.63,258.15,1.02,2425.6599,2553.9299,2367.04,2529.1899,2529.1899,8370250000,21727.657,3.36,4.4,0.65,7.8955,7.5882,143.0601,142.5444,11848.7894,0.8196,0.0461,0.047,0.0456,0.0777,496.7632,0,7.2581,7.67201,0.0,3.3736,3.46411,,-2.7007973194122314,-9.695514678955078,
2020-03-18,0.63,258.15,1.18,2436.5,2453.5701,2280.52,2398.1001,2398.1001,8799300000,21727.657,3.36,4.4,0.65,7.5882,6.345,-131.0898,142.5754,10502.3406,0.8196,0.059,0.0508,0.0439,0.0821,453.0432,1,5.63246,7.52091,11.2898,3.35044,3.5505,,14.5320463180542,19.59319496154785,
2020-03-19,0.5,258.15,1.12,2393.48,2466.97,2319.78,2409.3899,2409.3899,7956100000,21727.657,3.65,4.4,0.65,6.345,6.8589,11.2898,141.9125,9261.1,0.8196,0.0436,0.0433,0.0369,0.0615,381.6948,0,7.23771,7.69995,0.0,3.63293,3.71839,,78.55679321289062,4.731342792510986,
2020-03-20,0.75,258.15,0.92,2431.9399,2453.01,2295.5601,2304.9199,2304.9199,9053950000,21727.657,3.65,4.4,0.65,6.8589,4.967,-104.47,137.617,7415.253,0.8196,0.0278,0.033,0.0398,0.067,394.2669,0,9.31428,7.1274,0.0,3.68226,3.83469,,54.891998291015625,1.985061883926392,
2020-03-23,0.8,258.15,0.76,2290.71,2300.73,2191.8601,2237.3999,2237.3999,7411380000,21727.657,3.65,4.4,0.65,4.967,4.4902,-67.52,135.8565,6477.9013,0.8196,0.0321,0.031,0.0291,0.0489,278.1799,1,8.13649,6.93191,209.9302,3.79651,4.05659,,48.99882888793945,146.05120849609375,
2020-03-24,0.97,258.15,0.84,2344.4399,2449.71,2344.4399,2447.3301,2447.3301,7563150000,21727.657,3.65,4.4,0.65,4.4902,6.8074,209.9302,132.752,5410.2688,0.8196,0.0065,0.0159,0.0264,0.0641,275.2829,1,4.35303,6.85452,28.23,4.16703,4.62977,,21.552114486694336,2.776721239089966,
2020-03-25,1.07,258.15,0.88,2457.77,2571.4199,2407.53,2475.5601,2475.5601,8300010000,21727.657,3.65,4.4,0.65,6.8074,5.45,28.23,138.6,6531.749,0.8196,0.0479,0.0464,0.0396,0.066,420.3232,1,4.81541,6.81935,154.51,4.15633,4.69618,,82.2638931274414,99.15869903564452,
2020-03-26,1.07,258.15,0.83,2501.29,2637.01,2500.72,2630.0701,2630.0701,7766990000,21727.657,3.5,4.4,0.65,5.45,3.8051,154.51,134.5555,5265.2459,0.8196,0.0123,0.0208,0.0319,0.0541,358.503,0,4.3724,7.16952,0.0,4.57666,4.83466,,24.509632110595703,4.353074550628662,
2020-03-27,0.94,258.15,0.72,2555.8701,2615.9099,2520.02,2541.47,2541.47,6201670000,21727.657,3.5,4.4,0.65,3.8051,3.3992,-88.6001,135.8354,5405.864,0.8196,0.0281,0.0262,0.0224,0.047,242.4844,1,7.97694,6.78351,85.1799,4.30141,4.34513,,27.6571102142334,62.4453010559082,
2020-03-30,0.95,258.15,0.7,2558.98,2631.8,2545.28,2626.6499,2626.6499,5751120000,21727.657,3.5,4.4,0.65,3.3992,2.7319,85.1799,133.4735,4717.1902,0.8196,0.015,0.0172,0.0201,0.0341,223.99,0,7.45882,6.26138,0.0,4.11685,4.4699,,31.704906463623047,36.17358016967773,
